,Logistic Regression,Balanced Random Forest,Balanced Bagging,Easy Ensemble,RUS Boost,target
0,0.18907919293258793,0.24,0.295,0.48969737608496017,0.48766939174524065,0
1,0.3967398258509269,0.285,0.225,0.5245704075623826,0.4912845081392328,0
2,0.6385003548193868,0.84,0.875,0.5052860495657673,0.5000213520257493,1.0
3,0.48269204786710007,0.365,0.32,0.49825840498866997,0.4942731901718509,0
4,0.15758826030541312,0.14,0.085,0.48997294967693295,0.49615072171209457,0
5,0.09283153520256213,0.09,0.005,0.48436628492265044,0.49116848555800624,0
6,0.17600715924705143,0.33,0.315,0.4981412729870746,0.4915871413733505,0
7,0.7808695694154456,0.8,0.805,0.5045500006065807,0.5037049787153074,1.0
8,0.35423377039656967,0.295,0.23,0.49525487985751654,0.49808673810155424,0
9,0.39807705226107837,0.335,0.28,0.5002396909068844,0.49374331015123823,0
10,0.5925154891265071,0.455,0.4,0.49796986353554323,0.4989051543671314,0
11,0.42739856620321975,0.79,0.735,0.5030599433796589,0.5014838799539084,1.0
12,0.02785422511582985,0.09,0.005,0.481976484121455,0.4894070716373667,0
13,0.3937014432602157,0.44,0.35,0.5046213790433892,0.49791918861931206,0
14,0.5681332276604284,0.405,0.47,0.49872193939700227,0.4953177225073714,0
15,0.2677364547238587,0.34,0.33,0.49415970267444187,0.4974472380458993,0
16,0.4902020975877467,0.46,0.43,0.5009356497560682,0.4988441519826521,0
17,0.2429833664192567,0.27,0.195,0.4968964357681236,0.4938353538314647,0
18,0.3262324051548746,0.32,0.485,0.49967650365409044,0.49501234946467,0
19,0.715501724630697,0.385,0.3,0.5021135757534776,0.49960066529479374,0
20,0.08096819988073094,0.69,0.685,0.4897850133023388,0.4959135413759224,1.0
21,0.031040940850721118,0.08,0.05,0.47873279939705604,0.4895247265224421,0
22,0.09388577214229286,0.245,0.19,0.4888898111546638,0.4932513337059917,0
23,0.8104247922269274,0.56,0.66,0.5106472957053373,0.5064060569830736,0
24,0.08154361804360352,0.27,0.2,0.5032829618090809,0.4888997997973385,0
25,0.5056852824321508,0.41,0.44,0.5028771328070654,0.5002076576112267,0
26,0.5242732297805195,0.435,0.515,0.5013382304017504,0.4965054286745604,0
27,0.35763617984458673,0.32,0.35,0.49778847959012595,0.4993929972348703,0
28,0.7733342011719401,0.52,0.39,0.5052463688074113,0.5025867973569415,0
29,0.4206261863225159,0.445,0.385,0.500015398084755,0.5022621685084011,0
30,0.1365644104406095,0.23,0.22,0.48974077737262894,0.4961195664107965,0
31,0.5129345938818656,0.85,0.71,0.5000949205760682,0.4992712182700085,1.0
